iter	Logloss
0	0.6612421625
1	0.6310436507
2	0.6032957949
3	0.5775935587
4	0.551879447
5	0.5308487347
6	0.5115600404
7	0.4912591511
8	0.4752565497
9	0.4591084307
10	0.4418354133
11	0.4273837476
12	0.4112457052
13	0.3999198393
14	0.3880063492
15	0.3757691898
16	0.3668447685
17	0.3571498304
18	0.3480842646
19	0.3415811078
20	0.3337662619
21	0.3276174104
22	0.3213279759
23	0.3179052664
24	0.3147006128
25	0.3099721025
26	0.3042332055
27	0.2989678974
28	0.2956408714
29	0.2914913589
30	0.2869825754
31	0.2838168692
32	0.2808839281
33	0.2766728016
34	0.2733472574
35	0.2701086727
36	0.2667260747
37	0.2636992531
38	0.2615148726
39	0.2589851696
40	0.2568169488
41	0.2547525533
42	0.2519582983
43	0.2507460667
44	0.2491203969
45	0.2469463399
46	0.2450356795
47	0.2439686361
48	0.2426260001
49	0.2409576089
50	0.2394078486
51	0.2384005252
52	0.236471178
53	0.2346839956
54	0.2336323516
55	0.2325307196
56	0.2313273842
57	0.2300697721
58	0.2293818062
59	0.2285343516
60	0.2275059493
61	0.2266925464
62	0.225453638
63	0.2247795918
64	0.2239517113
65	0.2229757024
66	0.2215864412
67	0.2205533972
68	0.2197737183
69	0.2191824137
70	0.2185786121
71	0.2175736583
72	0.2171181467
73	0.2162703543
74	0.2158094269
75	0.2154313304
76	0.2148798361
77	0.214313333
78	0.2138317395
79	0.2132738071
80	0.2127191199
81	0.2124008535
82	0.2119656639
83	0.2115101511
84	0.2110363706
85	0.2106722506
86	0.2099103687
87	0.2095402915
88	0.2089963413
89	0.2085119403
90	0.2080744235
91	0.2076424419
92	0.2071686491
93	0.2068416637
94	0.2064568672
95	0.2062007618
96	0.2059565351
97	0.2054898808
98	0.2051838396
99	0.2049862362
100	0.2046301887
101	0.2042419438
102	0.2040227399
103	0.203792199
104	0.203550994
105	0.2029990497
106	0.2028010835
107	0.2026158423
108	0.2021421673
109	0.2017572713
110	0.2013805569
111	0.2010351878
112	0.2008042948
113	0.2004643113
114	0.199887951
115	0.1995098416
116	0.1991830929
117	0.1988498319
118	0.1986429072
119	0.1984047334
120	0.1980027836
121	0.1976549355
122	0.1973509108
123	0.1971136651
124	0.1967226145
125	0.1965009817
126	0.1962939442
127	0.196000396
128	0.1957617195
129	0.1954101208
130	0.1951380621
131	0.1948545639
132	0.1944547758
133	0.1941447987
134	0.1938467554
135	0.1935068514
136	0.1933047947
137	0.1930047607
138	0.1927277389
139	0.1925251507
140	0.1923470109
141	0.1921872312
142	0.1919465042
143	0.1916423338
144	0.1914036105
145	0.1912503145
146	0.1911334955
147	0.1908103319
148	0.1905722148
149	0.1903225687
150	0.1901479954
151	0.1898855804
152	0.1897080014
153	0.1895101693
154	0.1893131336
155	0.1891373428
156	0.188999755
157	0.1888914636
158	0.1887208822
159	0.1885631663
160	0.1883100214
161	0.1880064526
162	0.1878582253
163	0.1877184267
164	0.187595941
165	0.1873282323
166	0.1870676956
167	0.1868854825
168	0.1866865607
169	0.1865356428
170	0.1864622056
171	0.1863304207
172	0.1861506206
173	0.1860930435
174	0.1858858088
175	0.1857380656
176	0.1855687493
177	0.1853884684
178	0.1852388598
179	0.1851105192
180	0.1849447452
181	0.18475869
182	0.1846482653
183	0.1845163459
184	0.1843377539
185	0.184164593
186	0.1839722038
187	0.183761121
188	0.1836697896
