iter	Logloss
0	0.6348930334
1	0.5869863739
2	0.5486022395
3	0.5122179997
4	0.4804359012
5	0.4527991601
6	0.4303562352
7	0.4061505187
8	0.3840904352
9	0.3650628545
10	0.35088062
11	0.3383682314
12	0.326231669
13	0.3186101976
14	0.3087515512
15	0.2990026203
16	0.291785806
17	0.2855239837
18	0.2798019622
19	0.2746154626
20	0.271155405
21	0.2672523917
22	0.2637405204
23	0.2600645501
24	0.2572031606
25	0.2549708265
26	0.2526180638
27	0.2503747699
28	0.2481304849
29	0.2461563561
30	0.2445673296
31	0.2430214635
32	0.2418282553
33	0.2407562678
34	0.2395878587
35	0.2390709297
36	0.2381139902
37	0.2371842149
38	0.2363137193
39	0.235648188
40	0.2350302359
41	0.2345208637
42	0.2339732843
43	0.2333117542
44	0.2328787739
45	0.2324270903
46	0.2319277349
47	0.2317393894
48	0.231318494
49	0.2310037255
50	0.2307398545
51	0.2303637397
52	0.2300841953
53	0.2298224876
54	0.2296138025
55	0.2293961372
56	0.2291726786
57	0.2289758276
58	0.2288028187
59	0.2286587813
60	0.2284335049
61	0.228319689
62	0.2282056195
63	0.2280389027
64	0.2278968067
65	0.2277709018
66	0.2276087692
67	0.2274794845
68	0.2273698537
69	0.227232451
70	0.2271526448
71	0.2270223672
72	0.2268981168
73	0.2268320132
74	0.2267533804
75	0.2266538275
76	0.2265975474
77	0.2264931307
78	0.2264331222
79	0.2263434745
80	0.2262642136
81	0.2261974212
82	0.2261542479
83	0.2261072819
84	0.2260286898
85	0.2259822054
86	0.2259116698
87	0.2258459513
88	0.2257993502
89	0.22574189
90	0.2256527321
91	0.2255987432
92	0.2255733431
93	0.2255458964
94	0.2254995894
95	0.2254708309
96	0.2254341866
97	0.2253964504
98	0.2253601897
99	0.2253313606
100	0.2253067539
101	0.2252702088
102	0.2252434552
103	0.2251941917
104	0.225141797
105	0.2251154743
106	0.225066125
107	0.2250167075
108	0.2249855211
109	0.2249377552
110	0.2249141206
111	0.2248696045
112	0.224829897
113	0.224811638
114	0.2247874899
115	0.2247529465
116	0.2247183761
117	0.2246840475
118	0.2246753574
119	0.2246469821
120	0.2246077758
121	0.2245525021
122	0.2245500736
123	0.2245069599
124	0.2244840897
125	0.2244437456
126	0.2244038172
127	0.2243910936
128	0.2243572355
129	0.224332542
130	0.2243017134
131	0.224274722
132	0.2242444317
133	0.2242248872
134	0.2241774661
135	0.2241651739
136	0.2241419237
137	0.2241270126
138	0.2241130467
139	0.224073862
140	0.2240505452
141	0.2240122856
142	0.2240094865
143	0.2239872555
144	0.2239724382
145	0.2239716127
146	0.2239541723
147	0.2239273773
148	0.2239135139
149	0.2238917569
150	0.2238653837
151	0.223842645
152	0.2238208125
153	0.2238053731
154	0.2237721518
155	0.2237528225
156	0.2237261626
157	0.2237075251
158	0.2236787426
159	0.22365556
160	0.2236137306
161	0.2235910538
162	0.2235772539
163	0.2235515304
164	0.2235349216
165	0.2235131683
166	0.2235009984
167	0.2234880207
168	0.2234821555
169	0.2234640338
170	0.2234367028
171	0.2234353437
172	0.2234291451
173	0.2234118369
174	0.223400908
175	0.2233809254
176	0.2233649855
177	0.2233511317
178	0.2233249459
179	0.2233141501
180	0.2233008066
181	0.2232894407
182	0.2232702873
183	0.223260532
184	0.2232435301
185	0.2232185754
186	0.2232053039
187	0.2231995008
188	0.2231753019
189	0.2231646286
190	0.2231497663
191	0.2231299603
192	0.2231007131
193	0.2230922408
194	0.2230607668
195	0.2230328348
196	0.2230132369
197	0.2229949022
198	0.2229788581
199	0.2229615352
200	0.2229377065
201	0.2229113739
202	0.2228920504
203	0.2228909333
204	0.2228763791
205	0.2228391507
206	0.2228053654
207	0.2227873692
208	0.2227631184
209	0.2227467178
210	0.2227169912
211	0.2227013789
212	0.2226859829
213	0.2226696506
214	0.2226403584
215	0.2226213104
216	0.222601866
217	0.2225771658
218	0.2225488915
219	0.2225364994
220	0.222518267
221	0.2224963388
222	0.2224826078
223	0.222466663
224	0.2224387728
225	0.222408461
226	0.2223763121
227	0.2223606216
228	0.2223499463
229	0.2223303544
230	0.2223036752
231	0.222285498
232	0.2222839819
233	0.2222554082
234	0.2222486061
235	0.2222284289
236	0.2222155458
237	0.2221868583
238	0.2221678302
239	0.2221480372
240	0.2221169348
241	0.2221042821
242	0.222082818
243	0.2220755036
244	0.2220492187
245	0.2220352689
246	0.2220136626
247	0.2219915487
248	0.2219792352
249	0.2219661455
250	0.2219450625
251	0.2219342631
252	0.2219074579
253	0.2218856565
254	0.2218718057
255	0.2218341466
256	0.2218091508
257	0.2217832055
258	0.2217545174
259	0.2217449598
260	0.2217255422
261	0.2216927303
262	0.2216782765
263	0.2216574647
264	0.2216496071
265	0.2216261225
266	0.2215945662
267	0.2215682264
268	0.2215505182
269	0.221528895
270	0.221509276
271	0.2214873467
272	0.2214783148
273	0.221461395
274	0.2214443928
275	0.2214194571
276	0.2214067569
277	0.2213839007
278	0.2213603017
279	0.2213414426
280	0.2213167285
281	0.2212933551
282	0.2212667918
283	0.2212524062
284	0.2212313722
285	0.2212187898
286	0.2211951145
287	0.2211704822
288	0.2211519603
289	0.2211283792
290	0.2211081535
291	0.2210743919
292	0.2210521691
293	0.2210278634
294	0.2210092319
295	0.2209883508
296	0.220975245
297	0.2209628823
298	0.2209455496
299	0.2209242671
300	0.2208947292
301	0.2208769455
302	0.2208498559
303	0.2208257137
304	0.2208062933
305	0.2207897925
306	0.2207739087
307	0.2207586209
308	0.2207443462
309	0.2207324956
310	0.2207153613
311	0.2206938488
312	0.2206751379
313	0.2206629466
314	0.2206423968
315	0.2206214104
316	0.2206106304
317	0.2205951783
318	0.2205800506
319	0.220554884
320	0.220529786
321	0.22051023
322	0.2204924079
323	0.2204673702
324	0.2204424555
325	0.2204331514
326	0.2204229667
327	0.2204129185
328	0.2203995837
329	0.2203817396
330	0.2203705419
331	0.220345988
332	0.2203377219
333	0.2203195092
334	0.2202962323
335	0.220280087
336	0.2202679539
337	0.2202569221
338	0.2202430955
339	0.2202218915
340	0.2202066786
341	0.2201958228
342	0.2201801642
343	0.2201622501
344	0.2201534272
345	0.2201246375
346	0.2201090012
347	0.2200929061
348	0.2200698212
349	0.2200521055
350	0.2200437606
351	0.2200249239
352	0.2200074873
353	0.2199896322
354	0.2199766087
355	0.2199667534
356	0.2199408681
357	0.2199203009
358	0.2199122004
359	0.2198974299
360	0.2198707718
361	0.2198469721
362	0.2198061983
363	0.2197913442
364	0.2197772488
365	0.2197557972
366	0.2197400319
367	0.2197232112
368	0.2197069517
369	0.2196937423
370	0.2196736877
371	0.2196512043
372	0.2196399064
373	0.2196058825
374	0.2195882786
375	0.2195729708
376	0.2195647879
377	0.2195444476
378	0.2195256422
379	0.2195181745
380	0.2195023633
381	0.2194898637
382	0.2194753432
383	0.2194487171
384	0.2194325875
385	0.2194153035
386	0.2194007919
387	0.2193587329
388	0.2193462997
389	0.2193343865
390	0.2193273595
391	0.2193055883
392	0.2192908213
393	0.2192707301
394	0.2192544038
395	0.2192353428
396	0.2192242977
397	0.21920623
398	0.2191874206
399	0.2191739608
400	0.2191671279
401	0.2191558278
402	0.2191460486
403	0.2191296307
404	0.2191199595
405	0.2191156537
406	0.219105426
407	0.2190940591
408	0.219075725
409	0.2190485016
410	0.2190318544
411	0.2190168144
412	0.2190003165
413	0.2189927935
414	0.2189690146
415	0.2189612819
416	0.2189316913
417	0.2189030364
418	0.2188921285
419	0.2188824051
420	0.2188743522
421	0.2188544424
422	0.2188378837
423	0.2188212843
424	0.2187891845
425	0.2187744987
426	0.2187572476
427	0.2187498119
428	0.2187290769
429	0.2187171317
430	0.2186798001
431	0.2186721893
432	0.2186601755
433	0.2186481137
434	0.2186352283
435	0.2186181596
436	0.2186042053
437	0.218593888
438	0.2185852535
439	0.2185676347
440	0.2185432139
441	0.2185270173
442	0.2185194222
443	0.2185048586
444	0.2184904309
445	0.2184752468
446	0.2184638529
447	0.2184568038
448	0.2184496994
449	0.2184384255
450	0.2184219246
451	0.2184142233
452	0.2183678485
453	0.2183458167
454	0.218338508
455	0.2183125181
456	0.2182957587
457	0.2182819113
458	0.2182734718
459	0.2182593912
460	0.218246686
461	0.2182280151
462	0.2181928025
463	0.218177247
464	0.2181669966
465	0.218157945
466	0.2181441168
467	0.2181260924
468	0.2181110535
469	0.2180974845
470	0.2180763291
471	0.2180607547
472	0.2180278115
473	0.2180042675
474	0.2179894213
475	0.2179780327
476	0.2179687898
477	0.2179539569
478	0.2179371346
479	0.2179256916
480	0.2179105719
481	0.2178950732
482	0.2178839325
483	0.2178790108
484	0.217838033
485	0.2178231826
486	0.2178027082
487	0.2177835027
488	0.2177670169
489	0.2177551574
490	0.2177261935
491	0.2177185286
492	0.2177067925
493	0.2176903777
494	0.2176724455
495	0.2176529846
496	0.2176339448
497	0.2176121578
498	0.2176011273
499	0.2175870938
500	0.2175708326
501	0.2175628712
502	0.2175531964
503	0.2175433794
504	0.2175162278
505	0.2175018814
506	0.2174851431
507	0.2174723591
508	0.2174635201
509	0.2174519865
510	0.2174458152
511	0.2174308197
512	0.2174172353
513	0.2174042554
514	0.2173880107
515	0.2173816901
516	0.217374636
517	0.2173532291
518	0.2173375978
519	0.2173202859
520	0.2173019264
521	0.2172903376
522	0.2172763325
523	0.2172698072
524	0.217255512
525	0.217211826
526	0.2171980463
527	0.2171876611
528	0.217177772
529	0.2171701675
530	0.2171605863
531	0.2171525071
532	0.217143302
533	0.2171365743
534	0.2171281712
535	0.2171131956
536	0.2171002503
537	0.2170937495
538	0.2170721692
539	0.2170673975
540	0.217050438
541	0.2170440649
542	0.2170253395
543	0.2170067406
544	0.216998157
545	0.2169804928
546	0.2169685851
547	0.2169566624
548	0.2169392026
549	0.2169277642
550	0.2169219462
551	0.2169086502
552	0.2169020914
553	0.2168895526
554	0.2168750108
555	0.2168701897
556	0.2168604004
557	0.2168442968
558	0.2168340049
559	0.2168086618
560	0.2168049276
561	0.2167899565
562	0.2167694288
563	0.2167640067
564	0.2167512639
565	0.2167307746
566	0.2167119888
567	0.2166966395
568	0.216676805
569	0.216639779
570	0.2166270118
571	0.2166221512
572	0.2166055716
573	0.216598388
574	0.2165798069
575	0.2165606503
576	0.216545175
577	0.2165358838
